figure,scenario,endpoint,rates,category,method,display,percentage,mcse
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 1,BOLD-exp,48.01 (0.50),48.01,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 2,BOIN,39.7 (0.49),39.7,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 2,iBOIN,45.4 (0.50),45.4,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 2,BOLD,46.64 (0.50),46.64,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 2,BOLD-exp,46.98 (0.50),46.98,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 3,BOIN,39.7 (0.49),39.7,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 3,iBOIN,52.0 (0.50),52.0,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 3,BOLD,57.19 (0.49),57.19,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 3,BOLD-exp,59.15 (0.49),59.15,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 4,BOIN,39.7 (0.49),39.7,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 4,iBOIN,49.4 (0.50),49.4,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 4,BOLD,49.85 (0.50),49.85,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 4,BOLD-exp,48.76 (0.50),48.76,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",No favored dose,BOIN,51.1 (0.50),51.1,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",No favored dose,iBOIN,52.6 (0.50),52.6,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",No favored dose,BOLD,60.17 (0.49),60.17,0.49
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",No favored dose,BOLD-exp,56.80 (0.50),56.80,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 1,BOIN,51.1 (0.50),51.1,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 1,iBOIN,52.6 (0.50),52.6,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 1,BOLD,59.30 (0.49),59.30,0.49
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 1,BOLD-exp,56.05 (0.50),56.05,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 2,BOIN,51.1 (0.50),51.1,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 2,iBOIN,52.6 (0.50),52.6,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 2,BOLD,58.83 (0.49),58.83,0.49
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 2,BOLD-exp,55.50 (0.50),55.50,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 3,BOIN,51.1 (0.50),51.1,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 3,iBOIN,50.9 (0.50),50.9,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 3,BOLD,53.72 (0.50),53.72,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 3,BOLD-exp,51.69 (0.50),51.69,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 4,BOIN,51.1 (0.50),51.1,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 4,iBOIN,53.8 (0.50),53.8,0.50
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 4,BOLD,62.03 (0.49),62.03,0.49
word_04_scenario_4,4,Select Dose 4,"0.05, 0.10, 0.20, 0.30",Favor Dose 4,BOLD-exp,60.02 (0.49),60.02,0.49
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",No favored dose,BOIN,69.0 (0.46),69.0,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",No favored dose,iBOIN,70.5 (0.46),70.5,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",No favored dose,BOLD,82.35 (0.38),82.35,0.38
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",No favored dose,BOLD-exp,74.32 (0.44),74.32,0.44
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 1,BOIN,69.0 (0.46),69.0,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 1,iBOIN,70.5 (0.46),70.5,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 1,BOLD,80.44 (0.40),80.44,0.40
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 1,BOLD-exp,73.21 (0.44),73.21,0.44
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 2,BOIN,69.0 (0.46),69.0,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 2,iBOIN,70.5 (0.46),70.5,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 2,BOLD,80.80 (0.39),80.80,0.39
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 2,BOLD-exp,72.93 (0.44),72.93,0.44
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 3,BOIN,69.0 (0.46),69.0,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 3,iBOIN,69.6 (0.46),69.6,0.46
word_05_scenario_5,5,Select Dose 4 (highest available),"0.05, 0.10, 0.15, 0.20",Favor Dose 3,BOLD,77.89 (0.41),77.89,0.41
