figure,scenario,endpoint,rates,category,method,display,percentage,mcse
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",No favored dose,BOIN,72.88 (0.44),72.88,0.44
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",No favored dose,BOLD,89.49 (0.31),89.49,0.31
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",No favored dose,BOLD-exp,87.34 (0.33),87.34,0.33
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 1,BOIN,72.88 (0.44),72.88,0.44
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 1,BOLD,91.72 (0.28),91.72,0.28
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 1,BOLD-exp,90.10 (0.30),90.10,0.30
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 2,BOIN,72.88 (0.44),72.88,0.44
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 2,BOLD,89.32 (0.31),89.32,0.31
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 2,BOLD-exp,87.34 (0.33),87.34,0.33
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 3,BOIN,72.88 (0.44),72.88,0.44
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 3,BOLD,89.49 (0.31),89.49,0.31
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 3,BOLD-exp,87.34 (0.33),87.34,0.33
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 4,BOIN,72.88 (0.44),72.88,0.44
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 4,BOLD,89.49 (0.31),89.49,0.31
word_11_scenario_9,9,Select any dose 1-4 (all at target),"0.30, 0.30, 0.30, 0.30",Favor Dose 4,BOLD-exp,87.34 (0.33),87.34,0.33
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",No favored dose,BOIN,94.75 (0.22),94.75,0.22
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",No favored dose,BOLD,98.99 (0.10),98.99,0.10
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",No favored dose,BOLD-exp,96.22 (0.19),96.22,0.19
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 1,BOIN,94.75 (0.22),94.75,0.22
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 1,BOLD,98.60 (0.12),98.60,0.12
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 1,BOLD-exp,95.89 (0.20),95.89,0.20
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 2,BOIN,94.75 (0.22),94.75,0.22
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 2,BOLD,98.65 (0.12),98.65,0.12
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 2,BOLD-exp,95.91 (0.20),95.91,0.20
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 3,BOIN,94.75 (0.22),94.75,0.22
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 3,BOLD,98.78 (0.11),98.78,0.11
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 3,BOLD-exp,96.08 (0.19),96.08,0.19
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 4,BOIN,94.75 (0.22),94.75,0.22
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 4,BOLD,99.06 (0.10),99.06,0.10
word_12_scenario_10,10,Select Dose 4 (highest available),"0.05, 0.05, 0.05, 0.05",Favor Dose 4,BOLD-exp,96.31 (0.19),96.31,0.19
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",No favored dose,BOIN,99.19 (0.09),99.19,0.09
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",No favored dose,BOLD,100.00 (0.00),100.00,0.00
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",No favored dose,BOLD-exp,99.99 (0.01),99.99,0.01
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 1,BOIN,99.19 (0.09),99.19,0.09
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 1,BOLD,99.99 (0.01),99.99,0.01
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 1,BOLD-exp,99.98 (0.01),99.98,0.01
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 2,BOIN,99.19 (0.09),99.19,0.09
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 2,BOLD,100.00 (0.00),100.00,0.00
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 2,BOLD-exp,99.99 (0.01),99.99,0.01
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 3,BOIN,99.19 (0.09),99.19,0.09
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 3,BOLD,100.00 (0.00),100.00,0.00
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 3,BOLD-exp,99.99 (0.01),99.99,0.01
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 4,BOIN,99.19 (0.09),99.19,0.09
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 4,BOLD,100.00 (0.00),100.00,0.00
word_13_scenario_10,10,Select any dose 1-4 (all below target),"0.05, 0.05, 0.05, 0.05",Favor Dose 4,BOLD-exp,99.99 (0.01),99.99,0.01
