"scenario","interpretation","dose_1","dose_2","dose_3","dose_4"
"<1","All available doses are too toxic",0.45,0.5,0.55,0.6
"1","Dose 1 is the true MTD",0.3,0.4,0.5,0.6
"2","Dose 2 is the true MTD",0.1,0.3,0.4,0.5
"3","Dose 3 is the true MTD",0.05,0.1,0.3,0.4
"4","Dose 4 is the true MTD",0.05,0.1,0.2,0.3
">4","All available doses are below target",0.03,0.05,0.1,0.15
